Trash Pollution,Oil Concentration,Bacteria Level,Algae Concentration,Humidity,Wind Direction,Air Temperature
Medium,1.61,89,6.02,86,307,32
Low,1.19,68,7.37,,2,15
Low,1.06,317,4.4,30,149,-8
,0.11,189,11.17,50,251,30
High,0.31,31,1.81,20,194,17
Low,0.91,178,7.37,56,127,19
High,1.72,236,5.38,97,248,27
High,2.47,387,14.61,84,232,25
High,0.55,324,6.32,43,192,20
Low,0.08,269,3.01,58,84,12
Medium,1.98,278,1.72,53,119,33
Low,2.01,371,10.24,99,168,30
Medium,3.8,43,3.75,74,308,30
,2.35,287,12.98,92,244,37
High,1.66,83,2.78,33,143,22
Medium,2.61,151,6.85,51,205,40
High,2.56,92,14.35,57,193,35
Low,1.9,324,5.1,60,359,33
Medium,1.29,301,12.81,75,19,24
Medium,1.73,64,0.14,17,57,-2
Medium,3.96,100,9.6,53,251,34
Low,2.54,277,7.42,85,208,36
,0.01,186,0.79,26,114,-8
Medium,0,61,6.74,46,160,10
High,2.69,59,4.43,86,286,22
Medium,1.66,337,5.51,33,,39
Medium,1.83,168,6.65,79,253,16
Low,3.39,387,8.7,29,333,33
Medium,1.13,315,9.98,56,255,21
High,0.6,317,10.88,59,193,37
Low,0.41,214,9.39,80,269,16
Low,1.06,198,5.42,50,92,40
Low,1.74,21,4.6,47,41,12
Low,2.32,388,7.44,58,,32
Medium,1.35,23,1.21,34,20,32
Medium,0.76,26,9.45,51,185,-10
Low,0.62,391,7.4,28,169,14
High,1.49,66,3.92,40,157,
High,1.37,159,6.84,79,166,17
Low,0.22,37,2.85,53,62,30
Medium,2,2,8.25,96,322,32
Low,1.25,164,5.36,39,106,25
Low,0.75,8,5.83,50,200,20
High,1.96,113,2.48,29,35,6
High,0.59,330,5.98,92,39,19
Low,1.42,283,8.59,80,197,-1
Medium,1.79,346,13.01,58,204,23
High,1.21,181,8.4,55,281,25
Medium,1.9,245,13.1,86,333,23
Medium,2.7,312,6.42,61,292,20
High,3.57,248,8.05,61,187,23
Low,3.72,176,12.94,21,285,29
High,0.12,380,11.07,56,294,31
Medium,2.09,201,0.8,52,296,36
Medium,1.21,85,12.56,95,,27
Medium,1.94,327,14.91,64,290,26
Medium,2.32,77,0.65,28,53,6
Medium,1.34,191,1.54,67,276,22
Medium,0.26,178,2.51,33,39,22
Medium,1.62,201,3,45,120,16
High,2.62,240,0.87,58,282,-1
Medium,1.86,394,13.72,100,248,40
High,2.76,204,9.35,81,287,27
Medium,1.56,396,2.95,60,192,21
Low,1.63,337,7.12,16,146,7
High,1.79,169,12.55,75,225,31
High,0.93,120,0.15,48,121,10
Medium,1.22,198,4.95,20,17,21
Medium,0.85,312,7.4,24,340,-4
Low,3.16,125,2.19,43,306,12
Medium,3.52,230,8.35,79,33,27
Medium,0.12,292,7.44,28,133,13
Medium,3.5,239,6.06,74,,35
Low,1.93,175,5.25,28,100,14
High,2.43,179,2.75,88,322,29
High,3.61,360,5.9,81,340,31
Medium,1.98,70,6.8,16,188,-7
High,3.96,171,5.35,51,45,40
Low,0.19,84,0.16,31,238,-3
Low,1.41,180,3.7,34,98,-1
Low,0.18,116,6.21,18,309,18
Low,2.95,258,1.73,78,50,40
Low,0.95,195,0.31,24,65,14
High,1.85,55,5.07,36,175,22
High,0.98,162,1.28,35,119,5
Medium,0.56,231,4.59,17,264,23
Medium,1.75,347,8.72,82,317,-6
Low,1.74,134,13.19,72,238,38
Medium,3.74,101,9.45,72,282,36
Low,0.52,156,5.01,19,68,14
High,3.95,214,4.35,59,218,36
Medium,0.97,120,12.67,100,28,29
Low,1.27,395,6.28,65,6,32
Medium,1.17,176,1.96,23,158,6
Low,3.87,206,8.94,69,,30
High,1.19,87,0.54,89,288,36
Medium,2.93,156,10.76,34,238,6
Medium,2.09,75,13.47,99,87,-10
Medium,1.53,134,2.45,61,196,-9
High,2.51,195,4.83,85,301,25
High,1.94,183,13.47,75,219,20
Medium,3.3,308,7.33,97,195,32
Low,3.16,154,3.48,25,10,21
Low,3.49,255,7.37,52,205,25
Medium,2.67,196,1.41,31,195,8
Low,1.35,211,8.13,79,284,24
High,3.83,209,8.26,77,333,40
Medium,1.31,45,0.87,37,169,0
High,1.17,16,6.52,36,230,-10
Low,1.38,260,6.8,54,256,27
High,3.73,229,13.82,,187,39
High,1.8,288,6.86,31,185,
High,1.29,300,10.08,91,286,36
Medium,0.32,173,10.33,75,173,26
Medium,1.99,180,7.07,95,185,35
High,2.06,302,7.14,50,336,-6
High,1.68,369,11.37,73,299,39
Medium,2.01,111,2.28,85,254,31
Low,1.29,50,1.44,43,51,-10
Medium,3.36,340,6.11,98,,2
Low,0.53,21,13.61,78,349,30
High,1.21,65,7.41,51,58,
High,0.13,173,8.38,21,79,11
Low,0.03,378,4.5,52,27,38
Medium,2.33,182,0.59,82,249,40
Medium,1.62,152,4.91,94,226,32
High,3.74,342,10.7,85,350,27
Medium,2.11,354,7.16,84,86,26
High,3.46,350,0.44,26,238,25
Medium,2.46,218,4.57,91,159,36
Medium,1.39,104,3.02,24,64,21
Low,1.69,72,4.82,56,8,-2
Medium,2.8,298,7.3,47,215,40
Low,0.7,177,7.22,39,21,16
Low,2.22,116,6.47,64,20,-6
Low,0.46,35,6.78,53,134,10
High,3.79,338,9.2,65,236,37
Medium,1.81,117,7.23,59,92,12
Medium,1.14,55,0.58,98,294,21
High,1.52,40,3.96,59,75,23
Low,1.31,215,4.52,64,314,36
High,3.2,215,11.94,50,6,39
Medium,1.52,177,5.24,60,124,2
Low,2.21,335,2.28,42,162,20
Medium,2.56,210,5.41,51,204,25
Medium,2.14,327,5.18,62,147,35
Low,1.06,2,5.33,18,145,11
High,0.86,75,7.32,41,32,12
,1.11,154,7.14,20,238,25
Medium,0.98,38,7.28,,11,25
Medium,1.33,144,14.3,40,175,23
Medium,1.89,68,5.95,44,23,-7
Low,0.48,78,5.88,24,173,-9
High,1.56,286,6.83,69,340,27
High,0.3,350,9.64,54,194,33
Low,,138,7.49,58,34,1
High,0.86,84,0.79,58,117,8
High,1.54,142,4.08,18,136,3
High,3.27,276,2.44,79,298,34
High,2.08,176,10.15,72,104,22
Low,0.13,26,5.42,40,69,-2
Low,1.34,17,10.78,100,146,27
High,1.26,394,0.57,91,216,28
High,1.38,100,3.82,22,197,-9
Medium,0.69,13,5.16,36,41,-4
Medium,1.33,400,6.12,68,234,24
High,0.94,127,0.82,21,108,11
Medium,1.88,125,0.55,20,30,-4
Medium,1.34,138,3.51,48,163,-7
Medium,0.86,132,9.91,20,124,18
High,,176,6.81,53,250,37
Medium,0.4,255,2.34,52,9,13
Low,0.29,344,4.43,73,317,36
Medium,1.99,362,11.38,62,183,29
Low,3.32,294,12.09,96,337,22
Low,0.36,190,10.29,81,263,35
Medium,2.8,105,10.68,68,295,31
Medium,2.08,343,12.1,50,238,33
High,0.17,18,12.88,17,40,32
Medium,1.43,86,3.07,36,194,-8
Low,1.89,162,2.32,16,85,-8
Medium,1.56,47,12.04,56,305,39
Low,0.98,111,2.55,53,28,25
Medium,0.22,30,0.26,17,149,10
Medium,2.53,394,3.66,14,233,24
High,0.66,68,14.74,42,182,-3
High,2.52,191,7.22,91,283,25
Medium,0,182,6.3,58,132,23
High,1.81,192,5.59,31,106,23
Medium,3.02,367,10.53,64,52,-3
Medium,3.76,107,5.86,21,76,13
Medium,1.99,398,9.79,89,219,35
High,1.77,351,1.63,91,244,25
Medium,0.31,38,2.08,,63,-7
Medium,0.19,251,11.02,93,247,36
Medium,1.12,176,6.64,46,80,1
Low,0.17,163,6.27,82,170,0
Medium,2.23,280,9.79,73,218,32
Medium,0.5,305,6.14,73,202,37
Medium,0.16,144,5.62,58,270,-1
,1.78,399,1.17,98,200,40
High,1.6,65,7.16,88,169,1
Low,1.14,35,2.02,59,131,17
Low,0.04,41,1.64,31,35,13
High,2.18,314,5.93,66,183,17
High,,185,5.67,44,189,3
High,,345,12.57,51,317,23
Low,3.18,164,1.65,60,6,9
Medium,0.85,291,14.27,68,248,37
Medium,1.51,107,13.57,18,97,10
Medium,1.55,212,2.8,52,72,5
High,1.01,43,4.08,48,97,15
Medium,0.87,168,2.41,40,92,16
Medium,0.55,63,7.2,50,102,17
Medium,1.93,177,9.17,66,198,25
Medium,0.68,252,9.25,74,332,37
High,2.78,333,6.4,74,267,21
High,3.77,6,9.91,50,189,35
High,1.47,191,7.09,33,123,20
High,2.65,231,13.37,72,346,39
Low,1.12,16,0.41,49,100,22
Medium,1.31,77,10.08,90,356,24
Medium,0.24,21,5.43,22,196,10
Medium,1.62,11,2.74,36,128,13
High,,322,13.25,66,322,28
Medium,3.07,184,6.92,81,264,5
,3.49,350,5.18,58,163,27
Medium,1.01,59,0.98,32,100,16
Low,1.94,174,4.1,54,75,0
High,0.11,37,7.15,33,45,-5
High,1.53,64,10.98,47,51,2
High,3.92,283,8.44,83,276,39
Low,0.21,111,4.35,16,127,12
Medium,0.69,373,10.29,52,86,39
Medium,1.56,176,13.62,72,278,22
Medium,1.84,315,10.58,93,171,23
Low,3.1,277,13.29,98,289,36
High,3.1,330,10.44,80,255,27
Low,1.14,67,4.71,57,309,23
Low,1.28,176,0.87,49,174,31
Medium,1.29,24,4.97,75,295,37
High,2.47,167,14.22,72,273,35
Medium,1.57,380,7.11,47,269,36
Medium,0.87,115,0.06,36,74,20
High,0.72,400,2.26,98,69,36
High,1.1,32,1.06,26,91,16
High,1.85,122,7.37,24,50,-7
High,1.3,6,6.66,21,79,2
Medium,0.27,174,2.75,25,102,12
Low,1.38,181,1.63,56,71,22
Medium,0.9,39,6.68,46,107,-1
Medium,1.45,265,11.84,97,330,22
Low,1.1,123,5.71,46,118,-1
High,0.84,163,6.19,63,336,21
Medium,3.37,347,3.17,67,207,23
High,0.88,340,9.38,55,256,34
Medium,1.15,42,2.35,,107,-2
High,2.41,122,4.47,86,209,40
High,1.97,180,6.26,54,304,23
High,0.68,106,1.38,97,129,12
Low,2.89,245,4.73,22,320,13
Medium,0.11,177,14.94,98,301,28
High,0.22,306,8.27,81,124,30
High,0.4,396,14.9,50,148,18
High,2.15,251,14.87,,217,29
Low,1.28,162,2.73,37,77,23
Medium,1.95,321,8.41,,281,29
Low,3.57,357,13.66,68,183,34
Medium,1.95,185,14.54,46,230,21
Low,1.93,160,13.63,94,181,25
High,0.01,271,2.31,85,150,-7
Low,0.86,112,0.23,14,,25
High,2.86,315,5.82,66,341,34
,3.43,197,3.56,59,353,25
Medium,0.16,95,5.56,36,206,12
High,0.68,357,14.59,89,347,23
High,2.38,368,4.58,65,335,39
High,2.59,180,7.15,47,330,22
Medium,0.14,68,1.8,25,88,4
High,3.33,398,12.29,81,275,29
Low,1.11,225,6.09,36,7,1
Low,2.6,361,15,74,260,39
High,2.61,341,3.86,64,243,-7
Medium,0.46,299,5.49,35,344,30
,1.65,118,4.98,37,173,-5
Low,1.97,123,0.25,30,140,-1
Medium,1.55,93,4.26,18,137,22
Low,1.06,267,14.73,94,287,25
Medium,2.91,165,4.57,28,156,10
Low,3.12,166,2.99,20,77,16
Medium,0.35,117,12.08,60,74,0
Low,1.93,302,6.96,54,347,31
Medium,2.74,179,12.77,47,64,15
Low,0.11,165,6.95,39,204,17
High,0.85,193,6.19,73,209,15
High,0.47,120,1.44,56,136,-4
Medium,1.5,388,1.11,51,184,34
Low,3.06,391,5.65,98,284,22
Medium,2.2,131,2.21,22,94,
Medium,1.88,372,5.82,20,309,14
Low,1.98,84,1.91,39,191,13
Low,0.07,168,3.84,32,101,-5
Low,0.16,40,0.64,65,237,21
High,3.82,130,7.29,39,218,-8
Low,3.07,286,5.86,79,252,37
High,0.03,186,7.15,29,23,2
Medium,1.8,12,4.99,21,150,14
Medium,0.97,56,7.3,91,300,37
Medium,3.23,187,1.82,25,334,33
High,1.28,326,10.08,65,314,22
Medium,1.72,124,7.31,25,163,4
High,3.55,154,7.36,60,269,
Low,1.76,152,7.18,29,0,8
Medium,3.51,32,14.41,96,255,29
Low,0.65,201,4.99,45,13,15
Medium,3.94,187,7.07,43,198,26
,3.25,253,13.11,60,233,5
High,1.54,395,6.37,99,359,22
High,3.63,363,9.94,57,360,25
High,3.09,214,2.61,98,242,30
Medium,0.62,396,8.68,95,229,40
Low,3.19,166,4.42,51,73,12
Medium,1.66,96,0.92,54,156,7
Medium,3.69,299,4.96,24,110,24
Medium,0.41,331,7.39,78,65,31
High,2.15,191,9.12,76,262,36
Medium,1.08,149,3.24,57,39,4
Medium,1.57,227,13.71,76,242,33
Medium,1.3,103,5.31,41,137,-9
Medium,3.15,322,8.68,56,,23
Medium,1.64,120,2.97,20,,16
Medium,3.77,272,12.42,97,129,37
High,2.75,290,7.03,98,78,22
Medium,3.21,264,8.81,80,308,33
Medium,0.15,223,10.6,99,231,22
Medium,3.3,259,10.92,81,270,
Low,0.82,157,1.14,85,146,40
Low,2,192,0.97,51,6,6
High,0.25,187,9.99,75,206,20
Medium,1.66,97,5.33,33,118,
Medium,1.61,139,8.61,21,160,3
High,1.6,167,4.9,83,244,11
Medium,1.62,273,2.54,38,148,14
Low,0.29,161,4.19,41,178,29
Medium,2.38,219,7.12,89,1,19
Low,0.42,175,5.57,19,270,12
Medium,2.06,225,6.09,79,51,29
Low,1.3,334,5.82,71,333,-1
Low,1.43,109,2.16,39,261,-1
Low,1.32,35,13.5,29,20,8
Medium,3,52,2.83,55,68,18
High,1.47,313,6.78,73,249,37
High,2.52,35,6.58,42,221,-2
Medium,3.5,374,3.13,77,196,37
Low,1.61,136,6.99,42,128,6
Low,1.71,202,7.14,60,286,35
Medium,3.55,70,6.57,,16,-7
Medium,1.94,161,4.93,16,89,8
Medium,2.65,351,9.95,59,190,40
Medium,2.41,96,6.65,54,90,30
Medium,2.49,307,9.3,75,277,21
Low,0.14,6,5.61,47,56,19
Medium,1.89,78,6.72,27,96,16
High,1.08,194,5.11,63,209,10
Medium,3.22,174,8.02,90,28,25
High,2.18,210,5.55,61,328,20
High,1.47,17,8.03,63,347,40
Medium,2.66,256,10.09,19,155,37
Medium,1.34,87,0.2,24,166,-4
Low,2.01,290,10.31,36,348,
,1.43,13,13.11,98,76,34
Medium,1.86,341,5.58,94,304,29
Low,1.85,145,1.41,39,149,11
High,1.95,100,7.18,50,32,-5
High,2.95,88,7.2,98,230,29
Low,0.22,179,3.19,60,26,25
Low,0.61,16,13.19,27,199,12
Medium,3.45,317,6,82,275,36
,1.23,241,5.87,97,245,36
Medium,0.01,61,6.11,43,100,2
Low,0.39,57,13.84,29,160,19
Medium,1.53,26,3.43,58,44,25
Medium,0.9,151,6.94,55,83,10
High,2.94,248,13.73,,42,27
High,3.65,243,14.46,59,312,21
Low,0.67,52,6.26,31,60,12
Medium,3.16,90,5.31,28,304,31
Low,1.35,13,4.23,50,23,11
,0.44,197,1.12,21,52,29
,1.88,37,1.48,55,70,9
,1.46,211,2.19,85,184,25
Low,3.37,63,7.18,85,334,34
Low,3.32,288,14.38,95,224,38
,2.84,234,12.82,94,234,30
High,1.58,361,11.31,92,328,29
High,0.06,79,9.27,,255,18
High,3.54,375,4.29,80,245,-4
High,3.7,235,6.49,73,260,22
High,2.13,346,6.1,50,228,31
Low,2.45,255,1.3,59,218,27
High,2.05,155,7.96,65,83,20
High,0.79,183,0.44,21,123,-3
Medium,1.59,312,14.87,76,273,34
High,2.5,277,13.18,38,290,26
Medium,2.38,52,5.53,25,88,0
Medium,2.31,76,14.38,77,181,
Medium,1.16,382,7.13,37,43,1
Medium,1.35,96,10.14,23,126,-6
High,2.77,60,9.77,80,304,20
Low,1.09,306,2.86,57,190,38
Low,0.42,82,6.99,14,2,23
Medium,3.93,184,11.91,78,210,26
Low,0.56,10,7.3,52,44,
Medium,0.78,166,5.53,52,208,19
Medium,1.93,337,1.47,33,100,5
Medium,2.44,266,4.46,69,229,22
Low,0.4,156,10.73,36,54,-1
Medium,1.6,349,10.16,51,140,14
Medium,2,56,4.46,39,243,32
Low,1.92,194,0.26,39,,32
High,3.16,174,8.95,58,240,23
Low,0.56,31,3.35,26,22,7
High,1.98,389,6.14,70,261,23
Medium,3.97,380,12.83,21,296,19
High,2.42,195,14.91,87,250,23
Low,1.26,348,2.53,86,143,11
Low,1.67,365,7.7,87,252,32
Low,1.43,158,4.37,23,44,-4
High,2.79,214,4.38,70,266,38
Medium,0.74,148,2.63,56,172,20
Medium,0.52,175,1.54,25,156,-8
Low,0.94,315,2.42,24,23,-4
Low,,152,1.87,45,202,28
High,3.47,157,7.24,77,317,
Low,2.79,321,12.76,67,355,21
High,2.19,277,8.87,66,339,26
Low,2.89,375,2.16,51,247,11
Medium,3.6,279,12.76,73,353,32
Low,2.47,399,12.52,79,340,27
Medium,1.39,243,14.92,60,4,36
Medium,1.23,10,6.58,39,98,
Low,0.81,369,7.76,56,,23
Medium,3.08,94,4.05,38,181,24
High,,166,5.57,69,279,36
High,3.89,330,5.26,52,186,
Medium,0.5,184,8.38,16,80,28
Medium,2.61,234,9.3,94,278,34
Low,1.1,40,1.13,52,,39
Low,0.37,4,5.96,52,133,-3
High,0.26,153,7.36,34,256,-10
Medium,1.09,39,10.98,18,149,0
Low,2.81,155,11.83,77,253,20
Low,1.45,175,5.07,85,36,-6
Low,1.68,177,3.81,54,67,10
High,2.27,270,10.69,73,340,16
High,1.41,158,11.02,62,287,20
Medium,1.97,136,5.13,28,1,2
High,3.81,298,13.44,75,340,24
Medium,1.81,161,4.24,55,,10
Medium,1.09,293,11.05,84,67,5
High,3,221,8.56,86,180,39
High,0.93,362,9.98,56,272,31
Medium,1.95,277,4.3,55,235,31
Medium,3.07,179,5.9,96,240,31
High,1.88,165,1.19,55,225,27
High,2.89,29,12.96,93,319,28
Medium,1.53,392,4.89,66,169,30
High,2.58,354,13.37,89,,35
Medium,1.82,21,10.96,18,46,18
High,2.26,155,4.36,59,142,9
Low,1.56,189,5.9,82,137,4
High,2.72,349,11.39,,299,24
Medium,0.72,275,2.79,31,128,-9
Medium,0.04,70,0.65,48,53,-5
Medium,2.25,290,8.87,82,124,24
Medium,1.74,160,5.93,30,174,11
Low,1.53,207,13.71,51,125,31
High,3.13,329,7.84,90,312,28
,1.83,165,3.18,43,195,2
High,3.87,96,8.22,81,214,27
Medium,2.51,265,10.57,80,231,39
Medium,0.17,144,3.48,14,267,6
Low,3.4,103,2.74,41,83,12
High,1.53,97,7.68,88,206,27
High,3.18,346,11.52,89,223,
High,1.2,158,6.82,49,29,1
High,1.75,135,10.6,83,162,25
Medium,2.18,301,4.42,93,350,27
Medium,3.83,125,5.38,66,308,34
High,2.49,213,6.86,72,200,33
Medium,2.72,9,2.55,46,187,4
Low,1.31,112,11.08,,79,40
Medium,0.58,135,5.09,16,,24
Low,0.91,104,11.76,37,140,20
Medium,3.56,317,5.4,55,193,32
High,0.48,168,1.06,20,182,
Low,1.18,158,2.8,60,86,13
Medium,1.62,300,6.46,94,229,20
High,2.83,158,7.03,98,259,22
High,2.64,198,5.21,44,94,34
High,0.78,15,6.32,27,179,23
Medium,1.99,95,4.66,24,289,14
Medium,1.95,169,1.1,59,128,23
High,3.37,267,9.35,95,256,27
Medium,3.8,296,5.42,72,327,25
Medium,1.31,346,7.26,32,360,38
